franchise_id,team_id,year_id,team_name,league,division,number_of_games,wins,losses,ties,winning_percentage,finish,playoff_result
ATL,ATL,2026,Atlanta Braves,NL,East,111,66,45,0,.595,1st of 5,
ATL,ATL,2025,Atlanta Braves,NL,East,162,76,86,0,.469,4th of 5,
ATL,ATL,2024,Atlanta Braves,NL,East,162,89,73,0,.549,2nd of 5,Lost NLWC (2-0)
ATL,ATL,2023,Atlanta Braves,NL,East,162,104,58,0,.642,1st of 5,Lost NLDS (3-1)
ATL,ATL,2022,Atlanta Braves,NL,East,162,101,61,0,.623,1st of 5,Lost NLDS (3-1)
ATL,ATL,2021,Atlanta Braves,NL,East,161,88,73,0,.547,1st of 5,Won WS (4-2)
ATL,ATL,2020,Atlanta Braves,NL,East,60,35,25,0,.583,1st of 5,Lost NLCS (4-3)
ATL,ATL,2019,Atlanta Braves,NL,East,162,97,65,0,.599,1st of 5,Lost NLDS (3-2)
ATL,ATL,2018,Atlanta Braves,NL,East,162,90,72,0,.556,1st of 5,Lost NLDS (3-1)
ATL,ATL,2017,Atlanta Braves,NL,East,162,72,90,0,.444,3rd of 5,
ATL,ATL,2016,Atlanta Braves,NL,East,161,68,93,0,.422,5th of 5,
ATL,ATL,2015,Atlanta Braves,NL,East,162,67,95,0,.414,4th of 5,
ATL,ATL,2014,Atlanta Braves,NL,East,162,79,83,0,.488,2nd of 5,
ATL,ATL,2013,Atlanta Braves,NL,East,162,96,66,0,.593,1st of 5,Lost NLDS (3-1)
ATL,ATL,2012,Atlanta Braves,NL,East,162,94,68,0,.580,2nd of 5,Lost NLWC (1-0)
ATL,ATL,2011,Atlanta Braves,NL,East,162,89,73,0,.549,2nd of 5,
ATL,ATL,2010,Atlanta Braves,NL,East,162,91,71,0,.562,2nd of 5,Lost NLDS (3-1)
ATL,ATL,2009,Atlanta Braves,NL,East,162,86,76,0,.531,3rd of 5,
ATL,ATL,2008,Atlanta Braves,NL,East,162,72,90,0,.444,4th of 5,
ATL,ATL,2007,Atlanta Braves,NL,East,162,84,78,0,.519,3rd of 5,
ATL,ATL,2006,Atlanta Braves,NL,East,162,79,83,0,.488,3rd of 5,
ATL,ATL,2005,Atlanta Braves,NL,East,162,90,72,0,.556,1st of 5,Lost NLDS (3-1)
ATL,ATL,2004,Atlanta Braves,NL,East,162,96,66,0,.593,1st of 5,Lost NLDS (3-2)
ATL,ATL,2003,Atlanta Braves,NL,East,162,101,61,0,.623,1st of 5,Lost NLDS (3-2)
ATL,ATL,2002,Atlanta Braves,NL,East,161,101,59,1,.631,1st of 5,Lost NLDS (3-2)
ATL,ATL,2001,Atlanta Braves,NL,East,162,88,74,0,.543,1st of 5,Lost NLCS (4-1)
ATL,ATL,2000,Atlanta Braves,NL,East,162,95,67,0,.586,1st of 5,Lost NLDS (3-0)
ATL,ATL,1999,Atlanta Braves,NL,East,162,103,59,0,.636,1st of 5,Lost WS (4-0)
ATL,ATL,1998,Atlanta Braves,NL,East,162,106,56,0,.654,1st of 5,Lost NLCS (4-2)
ATL,ATL,1997,Atlanta Braves,NL,East,162,101,61,0,.623,1st of 5,Lost NLCS (4-2)
ATL,ATL,1996,Atlanta Braves,NL,East,162,96,66,0,.593,1st of 5,Lost WS (4-2)
ATL,ATL,1995,Atlanta Braves,NL,East,144,90,54,0,.625,1st of 5,Won WS (4-2)
ATL,ATL,1994,Atlanta Braves,NL,East,114,68,46,0,.596,2nd of 5,
ATL,ATL,1993,Atlanta Braves,NL,West,162,104,58,0,.642,1st of 7,Lost NLCS (4-2)
ATL,ATL,1992,Atlanta Braves,NL,West,162,98,64,0,.605,1st of 6,Lost WS (4-2)
ATL,ATL,1991,Atlanta Braves,NL,West,162,94,68,0,.580,1st of 6,Lost WS (4-3)
ATL,ATL,1990,Atlanta Braves,NL,West,162,65,97,0,.401,6th of 6,
ATL,ATL,1989,Atlanta Braves,NL,West,161,63,97,1,.394,6th of 6,
ATL,ATL,1988,Atlanta Braves,NL,West,160,54,106,0,.338,6th of 6,
ATL,ATL,1987,Atlanta Braves,NL,West,161,69,92,0,.429,5th of 6,
ATL,ATL,1986,Atlanta Braves,NL,West,161,72,89,0,.447,6th of 6,
ATL,ATL,1985,Atlanta Braves,NL,West,162,66,96,0,.407,5th of 6,
ATL,ATL,1984,Atlanta Braves,NL,West,162,80,82,0,.494,2nd of 6,
ATL,ATL,1983,Atlanta Braves,NL,West,162,88,74,0,.543,2nd of 6,
ATL,ATL,1982,Atlanta Braves,NL,West,162,89,73,0,.549,1st of 6,Lost NLCS (3-0)
ATL,ATL,1981,Atlanta Braves,NL,West,107,50,56,1,.472,5th of 6,
ATL,ATL,1980,Atlanta Braves,NL,West,161,81,80,0,.503,4th of 6,
ATL,ATL,1979,Atlanta Braves,NL,West,160,66,94,0,.413,6th of 6,
ATL,ATL,1978,Atlanta Braves,NL,West,162,69,93,0,.426,6th of 6,
ATL,ATL,1977,Atlanta Braves,NL,West,162,61,101,0,.377,6th of 6,
ATL,ATL,1976,Atlanta Braves,NL,West,162,70,92,0,.432,6th of 6,
ATL,ATL,1975,Atlanta Braves,NL,West,161,67,94,0,.416,5th of 6,
ATL,ATL,1974,Atlanta Braves,NL,West,163,88,74,1,.543,3rd of 6,
ATL,ATL,1973,Atlanta Braves,NL,West,162,76,85,1,.472,5th of 6,
ATL,ATL,1972,Atlanta Braves,NL,West,155,70,84,1,.455,4th of 6,
ATL,ATL,1971,Atlanta Braves,NL,West,162,82,80,0,.506,3rd of 6,
ATL,ATL,1970,Atlanta Braves,NL,West,162,76,86,0,.469,5th of 6,
ATL,ATL,1969,Atlanta Braves,NL,West,162,93,69,0,.574,1st of 6,Lost NLCS (3-0)
ATL,ATL,1968,Atlanta Braves,NL,,163,81,81,1,.500,5th of 10,
ATL,ATL,1967,Atlanta Braves,NL,,162,77,85,0,.475,7th of 10,
ATL,ATL,1966,Atlanta Braves,NL,,163,85,77,1,.525,5th of 10,
ATL,MLN,1965,Milwaukee Braves,NL,,162,86,76,0,.531,5th of 10,
ATL,MLN,1964,Milwaukee Braves,NL,,162,88,74,0,.543,5th of 10,
ATL,MLN,1963,Milwaukee Braves,NL,,163,84,78,1,.519,6th of 10,
